quality,alcohol,sulphates,volatile acidity,total sulfur dioxide,citric acid,density,free sulfur dioxide
5,9.5,0.6,0.45,72.0,0.34,0.998,16.0
5,10.1,0.9,0.57,89.0,0.25,0.9963,12.0
5,10.5,0.53,0.35,21.0,0.48,0.9986,5.0
5,10.2,0.61,0.57,26.0,0.02,0.99575,17.0
5,9.3,0.52,0.63,119.0,0.17,0.998,21.0
5,9.5,0.55,0.5,143.0,0.33,0.9968,15.0
3,9.95,0.63,0.76,12.0,0.02,0.996,6.0
5,9.0,1.17,0.49,62.0,0.51,0.9979,16.0
6,9.5,0.54,0.67,48.0,0.1,0.99888,12.0
6,11.6,0.56,0.74,26.0,0.09,0.99402,16.0
7,10.0,0.47,0.65,21.0,0.0,0.9946,15.0
5,9.5,0.52,0.73,13.0,0.21,0.9968,5.0
5,9.7,0.54,0.49,44.0,0.19,0.9957,10.0
6,10.3,0.6,0.57,36.0,0.05,0.99564,16.0
5,10.0,0.67,0.785,21.0,0.24,0.99692,10.0
7,10.8,1.05,0.24,22.0,0.42,0.9976,6.0
7,10.0,0.7,0.31,28.0,0.09,0.99459,15.0
6,12.2,0.6,0.4,46.0,0.43,0.9943,29.0
6,9.4,0.54,0.53,105.0,0.24,0.996,15.0
6,14.0,0.79,0.46,18.0,0.45,0.9947,7.0
6,9.3,0.65,0.45,18.0,0.23,0.99774,10.0
4,11.0,0.58,0.845,14.0,0.01,0.9967,5.0
5,11.3,0.56,0.78,15.0,0.23,0.997,5.0
5,12.9,0.55,0.605,25.0,0.05,0.99258,19.0
6,11.9,0.53,0.36,8.0,0.66,0.99642,3.0
5,9.2,0.42,0.81,85.0,0.25,0.99668,34.0
5,9.2,0.52,0.42,88.0,0.21,0.99823,33.0
6,10.4,0.6,0.83,43.0,0.0,0.99822,17.0
6,11.3,0.6,0.69,21.0,0.07,0.99572,15.0
5,9.4,0.55,0.57,144.0,0.27,0.99782,23.0
6,9.0,0.47,0.34,57.0,0.38,0.9978,12.0
5,9.2,1.34,0.46,45.0,0.59,0.99702,16.0
6,10.1,0.64,0.63,28.0,0.33,0.99531,16.0
7,10.5,0.56,0.58,18.0,0.01,0.99568,12.0
5,9.7,0.6,0.685,22.0,0.0,0.99606,9.0
7,12.8,0.55,0.36,8.0,0.32,0.9928,4.0
5,10.6,0.97,0.32,58.0,0.25,0.99633,23.0
5,9.5,0.55,0.58,32.0,0.22,0.9974,9.0
6,13.6,0.66,0.4,80.0,0.5,0.9902,29.0
6,11.7,0.57,0.44,64.0,0.2,0.9935,24.0
7,11.2,0.54,0.34,10.0,0.36,0.99419,5.0
6,9.9,0.52,0.38,49.0,0.06,0.99625,12.0
6,10.4,0.64,0.77,74.0,0.12,0.99865,30.0
6,9.6,0.72,0.5,31.0,0.18,0.99761,12.0
5,9.8,0.53,0.61,88.0,0.26,0.99612,24.0
5,9.5,0.64,0.5,27.0,0.46,1.0001,5.0
6,11.8,0.53,0.605,31.0,0.02,0.995,10.0
6,9.7,0.67,0.31,46.0,0.44,0.9988,22.0
6,12.4,0.86,0.53,19.0,0.6,0.99585,5.0
7,11.0,0.9,0.24,24.0,0.47,0.9978,6.0
6,10.8,0.61,0.39,35.0,0.69,0.9994,17.0
6,10.4,0.68,0.42,64.0,0.09,0.99724,34.0
6,13.2,0.57,0.38,11.0,0.48,0.99577,3.0
7,11.6,0.66,0.34,9.0,0.4,0.99738,3.0
5,9.3,0.71,0.69,112.0,0.49,0.9968,20.0
5,9.6,0.47,0.835,19.0,0.03,0.9966,10.0
5,9.7,0.53,0.31,85.0,0.57,0.9971,26.0
5,9.4,0.49,0.39,27.0,0.12,0.99596,19.0
5,9.6,0.42,0.655,35.0,0.26,0.99738,5.0
7,11.7,0.84,0.3,25.0,0.34,0.99516,12.0
7,11.2,0.68,0.685,43.0,0.76,1.0032,6.0
6,11.7,0.57,0.36,42.0,0.24,0.9946,19.0
6,11.4,0.65,0.715,35.0,0.0,0.99533,30.0
5,9.5,0.61,0.565,112.0,0.34,0.9998,16.0
6,11.6,0.63,0.52,32.0,0.08,0.99646,11.0
5,10.5,0.51,0.49,37.0,0.19,0.9966,16.0
6,9.1,0.48,0.84,10.0,0.34,0.99554,4.0
8,10.0,1.1,0.33,13.0,0.33,0.996,3.0
6,10.5,0.54,0.51,31.0,0.02,0.99538,13.0
5,9.4,0.56,0.7,34.0,0.0,0.9978,11.0
6,9.5,0.71,0.67,13.0,0.55,1.0,6.0
5,9.9,0.49,0.6,105.0,0.22,0.99613,25.0
6,9.2,0.66,0.34,15.0,0.45,0.9988,6.0
6,11.3,0.58,0.58,11.0,0.0,0.99562,7.0
6,12.5,0.59,0.74,46.0,0.0,0.99258,16.0
6,9.9,0.96,0.66,23.0,0.0,0.9983,6.0
5,9.5,0.58,0.35,102.0,0.21,0.9964,46.0
6,10.5,0.61,0.52,38.0,0.42,0.9972,8.0
6,9.8,0.56,0.6,91.0,0.26,0.99616,17.0
5,9.4,0.66,0.745,134.0,0.56,0.9968,30.0
5,9.4,0.54,0.67,27.0,0.0,0.99768,18.0
5,9.2,0.67,0.695,56.0,0.0,0.9968,12.0
7,14.0,0.74,0.42,42.0,0.0,0.99154,16.0
5,9.5,0.58,0.66,13.0,0.0,0.99569,6.0
5,11.0,0.88,0.41,55.0,0.52,1.0001,29.0
6,9.0,0.59,0.545,35.0,0.18,0.9972,13.0
5,9.3,0.58,0.61,65.0,0.2,0.9971,11.0
5,9.3,0.6,0.52,30.0,0.33,0.9978,9.0
7,11.7,0.39,0.28,100.0,0.28,0.99064,36.0
5,9.3,0.61,0.615,19.0,0.22,0.9982,6.0
5,11.2,0.53,0.46,44.0,0.0,0.99385,25.0
6,9.4,0.67,0.64,23.0,0.02,0.997,9.0
4,10.9,0.55,0.685,9.0,0.07,0.99632,5.0
4,11.2,0.5,0.88,47.0,0.03,0.99572,23.0
5,9.7,0.53,0.615,72.0,0.28,1.0001,18.0
6,10.1,0.7,0.685,31.0,0.11,0.9984,6.0
7,11.0,0.85,0.36,44.0,0.46,0.99534,24.0
6,9.6,0.7,0.37,58.0,0.2,0.998,18.0
5,10.5,0.83,0.45,87.0,0.36,0.9978,12.0
6,11.1,0.72,0.72,49.0,0.09,0.9994,18.0
6,10.7,0.67,0.545,61.0,0.06,0.9965,27.0
5,9.4,0.49,0.39,27.0,0.12,0.99596,19.0
6,9.8,0.49,0.58,109.0,0.1,0.99565,28.0
6,10.7,0.58,0.59,43.0,0.01,0.9955,27.0
5,9.5,0.52,0.68,51.0,0.07,0.99685,16.0
5,9.5,0.68,0.57,11.0,0.02,0.997,4.0
6,12.5,0.65,0.58,70.0,0.23,0.99352,16.0
6,11.2,0.56,0.57,64.0,0.0,0.99491,32.0
5,9.4,0.62,0.48,122.0,0.32,0.9984,21.0
5,9.4,0.48,0.49,36.0,0.24,0.996,5.0
5,9.5,0.64,0.43,66.0,0.29,0.99718,19.0
6,9.7,0.67,0.27,21.0,0.62,1.0002,6.0
5,9.6,0.73,0.63,29.0,0.06,0.99855,8.0
6,11.3,0.66,0.68,54.0,0.01,0.99586,32.0
6,9.3,0.58,0.62,62.0,0.21,0.997,8.0
6,11.8,0.89,0.62,46.0,0.12,0.99504,38.0
6,11.0,0.81,0.35,47.0,0.33,0.99599,11.0
4,9.4,0.6,0.975,67.0,0.04,0.99565,12.0
6,9.4,0.54,0.39,46.0,0.31,0.9962,9.0
5,10.5,0.71,0.43,128.0,0.42,0.9973,28.0
7,10.9,0.83,0.31,10.0,0.53,0.99572,3.0
5,9.6,0.54,0.64,130.0,0.17,0.99818,25.0
5,9.5,0.69,0.57,16.0,0.02,0.99654,6.0
5,10.9,0.69,0.7,35.0,0.06,0.99628,20.0
5,12.0,0.63,0.64,26.0,0.09,0.99538,15.0
5,9.8,0.54,0.46,58.0,0.31,0.998,32.0
6,9.6,0.81,0.52,20.0,0.07,0.9973,5.0
5,9.2,0.55,0.32,50.0,0.25,0.9957,13.0
5,9.8,0.64,0.54,36.0,0.13,0.9973,15.0
5,9.7,0.57,0.66,86.0,0.03,0.99743,16.0
7,11.9,0.76,0.12,21.0,0.45,0.99552,10.0
5,10.5,0.68,0.55,34.0,0.19,0.99655,15.0
5,9.3,1.14,0.655,151.0,0.49,1.001,34.0
6,11.5,0.57,0.51,34.0,0.14,0.99396,15.0
5,9.5,0.39,0.655,12.0,0.03,0.99587,7.0
5,11.2,0.62,0.5,17.0,0.74,0.9996,5.0
6,10.3,1.36,0.29,57.0,0.35,0.997,25.0
6,10.6,1.04,0.28,46.0,0.48,0.9967,26.0
6,11.1,0.85,0.47,38.0,0.27,0.99518,18.0
7,13.6,0.73,0.42,88.0,0.0,0.99157,18.0
6,9.3,0.6,0.54,31.0,0.26,0.9976,7.0
6,10.0,0.74,0.46,44.0,0.24,0.998,14.0
6,9.9,0.7,0.6,34.0,0.0,0.9972,16.0
5,9.3,0.56,0.39,23.0,0.16,0.9955,11.0
5,9.7,0.57,0.66,86.0,0.03,0.99743,16.0
6,11.0,0.75,0.51,40.0,0.13,0.99574,29.0
6,11.1,0.77,0.61,24.0,0.08,0.99376,16.0
5,9.5,1.22,0.39,125.0,0.44,0.9978,34.0
6,10.0,0.8,0.415,43.0,0.68,1.0014,17.0
6,11.0,0.69,0.44,14.0,0.39,0.99555,6.0
5,9.9,0.53,0.735,124.0,0.02,0.9994,68.0
5,11.1,0.54,0.915,39.0,0.29,0.99577,15.0
3,8.4,0.63,0.61,16.0,0.49,0.9994,5.0
6,11.0,0.71,0.33,35.0,0.41,0.99396,6.0
6,11.1,0.83,0.5,39.0,0.21,0.99692,21.0
5,10.0,0.62,0.86,28.0,0.26,0.99712,13.0
6,9.5,0.55,0.68,44.0,0.11,0.99888,11.0
7,13.6,0.88,0.47,89.0,0.11,0.99182,16.0
7,13.6,0.88,0.36,38.0,0.34,0.9933,18.0
5,9.4,0.62,0.54,40.0,0.45,0.9991,16.0
6,9.5,0.56,0.51,25.0,0.01,0.9958,9.0
6,11.4,0.65,0.45,12.0,0.11,0.99354,6.0
6,9.8,0.56,0.6,91.0,0.26,0.99616,17.0
5,10.3,0.61,0.38,42.0,0.49,1.0004,12.0
5,9.5,0.6,0.44,111.0,0.49,0.9982,18.0
5,9.2,0.51,0.575,65.0,0.22,0.9967,12.0
6,10.6,0.81,0.43,28.0,0.02,0.99492,15.0
4,9.6,0.7,0.38,84.0,0.48,0.9972,22.0
6,11.2,0.58,0.58,7.0,0.16,0.99454,3.0
5,9.7,0.54,0.635,86.0,0.07,0.99748,16.0
5,9.4,0.49,0.6,121.0,0.26,0.9982,36.0
7,9.9,0.66,0.28,21.0,0.49,0.9976,10.0
6,10.9,0.72,0.5,68.0,0.45,0.99708,34.0
6,9.9,0.7,0.68,39.0,0.16,0.9977,12.0
7,10.5,0.92,0.59,16.0,0.16,0.9962,3.0
6,11.3,0.69,0.44,18.0,0.09,0.99444,9.0
6,9.5,0.67,0.65,25.0,0.02,0.9972,8.0
6,9.8,0.87,0.5,21.0,0.12,0.996,6.0
5,9.5,0.49,0.78,13.0,0.1,0.99855,4.0
5,12.8,0.6,0.57,49.0,0.28,0.99374,13.0
5,9.1,1.56,0.61,29.0,0.29,0.9974,9.0
5,11.5,0.62,1.04,96.0,0.24,0.9934,32.0
6,10.4,0.62,0.65,15.0,0.02,0.99498,8.0
6,10.6,0.73,0.47,19.0,0.4,0.9963,8.0
5,9.2,0.64,0.4,52.0,0.4,0.998,19.0
5,9.3,1.09,0.635,62.0,0.37,0.9971,5.0
5,9.6,0.44,0.5,14.0,0.49,1.0002,5.0
5,10.0,0.44,0.55,17.0,0.09,0.99735,8.0
5,11.4,0.56,0.59,13.0,0.01,0.99472,5.0
4,9.6,0.44,0.955,19.0,0.05,0.99616,5.0
6,9.8,0.48,0.585,30.0,0.18,0.9967,5.0
5,9.7,0.57,0.58,104.0,0.25,0.99779,9.0
6,11.5,0.63,0.74,16.0,0.03,0.99508,7.0
5,10.1,0.54,0.695,20.0,0.13,0.99546,12.0
5,9.0,0.58,0.49,85.0,0.33,0.99706,27.0
6,10.8,0.76,0.47,66.0,0.43,0.9982,27.0
5,10.0,0.56,0.58,37.0,0.66,0.9992,6.0
5,10.2,0.6,0.68,28.0,0.24,0.9988,5.0
5,9.5,0.91,0.43,37.0,0.21,0.9966,10.0
7,11.8,0.74,0.28,15.0,0.35,0.99524,6.0
3,9.0,0.57,0.58,47.0,0.66,1.0008,10.0
5,10.1,0.54,0.85,54.0,0.14,0.99724,13.0
7,10.0,0.65,0.48,54.0,0.32,0.99728,31.0
6,9.5,0.63,0.43,12.0,0.44,0.9994,5.0
5,9.3,0.57,0.57,119.0,0.23,0.99675,17.0
5,9.4,0.62,0.67,141.0,0.55,0.9968,32.0
5,11.5,0.52,0.875,14.0,0.13,0.9994,4.0
5,10.1,0.54,0.675,82.0,0.07,0.9958,17.0
7,12.0,0.85,0.44,76.0,0.73,0.999,38.0
8,11.7,0.69,0.42,12.0,0.39,0.99516,6.0
5,10.7,0.61,0.33,12.0,0.44,0.99542,6.0
7,11.3,0.78,0.26,47.0,0.34,0.99594,16.0
5,9.8,0.58,0.45,66.0,0.38,0.99726,34.0
8,11.7,0.92,0.3,17.0,0.56,0.9964,6.0
6,12.7,0.52,0.36,39.0,0.19,0.9956,15.0
6,12.2,0.62,0.39,53.0,0.33,0.99294,12.0
6,10.1,0.64,0.18,15.0,0.48,0.9973,7.0
5,9.8,0.71,0.59,71.0,0.07,1.00015,32.0
6,11.4,0.76,0.52,13.0,0.45,0.99774,6.0
5,9.6,0.82,0.745,63.0,0.11,0.9965,16.0
6,11.4,0.87,0.43,19.0,0.5,0.996,13.0
5,9.8,0.56,0.9,10.0,0.06,0.9967,5.0
6,10.9,0.63,0.9,17.0,0.0,0.99467,9.0
4,9.6,0.57,0.46,49.0,0.49,0.9981,26.0
6,11.4,0.84,0.54,55.0,0.0,0.9956,39.0
6,10.0,0.6,0.64,29.0,0.0,0.9965,18.0
6,9.8,0.58,0.63,91.0,0.27,0.99616,17.0
5,11.0,0.57,0.625,49.0,0.16,0.9962,13.0
5,9.3,1.31,0.41,69.0,0.68,0.9973,18.0
6,12.8,0.59,0.51,27.0,0.15,0.9929,12.0
7,12.5,0.71,0.25,10.0,0.39,0.99386,4.0
6,9.3,0.6,0.54,31.0,0.26,0.9976,7.0
5,10.9,0.87,0.56,27.0,0.49,0.9999,5.0
8,12.9,0.82,0.85,88.0,0.05,0.9924,12.0
7,11.7,0.74,0.65,38.0,0.01,0.9963,17.0
5,9.4,0.47,0.66,9.0,0.04,0.9962,4.0
5,10.4,0.58,0.4,50.0,0.5,0.99783,19.0
5,9.8,0.6,0.52,92.0,0.03,0.99745,21.0
5,10.2,0.52,0.64,101.0,0.1,0.9956,18.0
6,10.6,0.6,0.46,34.0,0.24,0.9948,18.0
5,11.7,0.49,0.58,22.0,0.2,0.99322,8.0
5,9.6,0.44,0.56,22.0,0.04,0.9976,10.0
7,12.5,0.77,0.31,43.0,0.39,0.99444,17.0
6,11.0,0.7,0.58,69.0,0.28,0.99633,12.0
6,11.3,0.63,0.64,33.0,0.0,0.99538,15.0
5,9.2,0.58,0.77,92.0,0.2,0.99892,30.0
5,9.6,0.56,0.805,20.0,0.0,0.9969,7.0
5,9.5,0.62,0.63,96.0,0.48,0.9961,14.0
6,9.5,0.6,0.49,16.0,0.36,0.998,6.0
5,9.5,0.62,0.56,86.0,0.22,0.9983,10.0
6,10.3,0.78,0.3,61.0,0.48,0.9959,18.0
5,9.8,0.66,0.64,31.0,0.21,0.99689,14.0
6,10.4,0.48,0.33,9.0,0.46,0.99628,6.0
4,9.2,0.59,0.67,75.0,0.19,0.99736,11.0
6,11.9,0.6,0.25,50.0,0.43,0.9946,22.0
6,11.6,1.03,0.58,14.0,0.56,0.99476,5.0
5,10.1,0.54,0.6,99.0,0.03,0.995,25.0
7,12.5,0.77,0.31,43.0,0.39,0.99444,17.0
6,10.0,0.9,0.25,33.0,0.49,0.9982,15.0
6,9.4,0.8,0.26,27.0,0.42,0.9974,11.0
6,10.2,0.9,0.24,73.0,0.33,0.99786,52.0
5,10.9,0.39,0.725,11.0,0.05,0.9962,4.0
8,11.0,0.65,0.35,16.0,0.53,0.9972,5.0
6,9.4,0.91,0.54,27.0,0.04,0.9987,7.0
6,10.3,0.53,0.33,11.0,0.47,0.9958,5.0
5,9.4,0.56,0.7,34.0,0.0,0.9978,11.0
6,10.9,0.94,0.24,22.0,0.34,0.9974,8.0
4,11.8,0.56,0.67,20.0,0.0,0.99488,11.0
5,11.4,0.55,0.34,18.0,0.42,0.99392,9.0
6,8.7,0.87,0.24,25.0,0.4,0.9967,11.0
5,9.6,0.78,0.32,15.0,0.59,0.9994,3.0
5,9.1,0.49,0.6,15.0,0.29,0.9988,5.0
6,11.2,0.76,0.55,51.0,0.1,0.99512,39.0
5,10.2,1.17,0.6,110.0,0.3,0.99914,20.0
6,11.1,0.59,0.43,67.0,0.24,0.99648,27.0
5,9.5,0.49,0.39,18.0,0.63,1.0004,6.0
5,9.4,1.06,0.36,18.0,0.6,0.9986,7.0
7,9.9,0.76,0.41,41.0,0.54,0.99735,22.0
5,10.5,0.73,0.38,72.0,0.6,0.9996,31.0
6,10.0,0.56,0.725,62.0,0.24,0.99685,10.0
5,9.5,0.47,0.38,35.0,0.21,0.9961,7.0
6,11.1,0.72,0.67,24.0,0.0,0.9956,10.0
7,10.8,0.81,0.37,42.0,0.44,0.99526,21.0
5,9.4,0.48,0.34,68.0,0.28,0.99694,31.0
7,12.5,0.52,0.27,17.0,0.49,0.99484,9.0
4,9.2,0.53,0.675,43.0,0.26,0.9976,11.0
6,9.7,0.47,0.745,48.0,0.18,0.99739,15.0
6,11.6,0.74,0.69,81.0,0.31,1.0002,23.0
7,11.7,0.62,0.56,29.0,0.14,0.99397,13.0
4,11.4,0.43,1.09,31.0,0.06,0.9948,12.0
5,9.0,0.64,0.42,42.0,0.31,0.9978,15.0
5,11.2,0.8,0.47,28.0,0.27,0.99516,14.0
5,11.1,0.74,0.645,23.0,0.49,1.00315,10.0
6,11.0,0.85,0.38,71.0,0.32,0.99624,24.0
5,11.1,0.63,0.23,67.0,0.4,0.9952,21.0
5,9.5,0.59,0.41,11.0,0.24,0.9962,4.0
7,12.1,0.62,0.33,13.0,0.41,0.99658,7.0
4,10.0,0.61,0.785,13.0,0.0,0.99664,6.0
6,10.7,0.62,0.5,46.0,0.39,0.9985,12.0
5,10.4,0.62,0.41,47.0,0.24,0.9956,18.0
6,10.7,0.79,0.5,20.0,0.49,0.999,5.0
5,9.5,0.55,0.65,40.0,0.1,0.99803,17.0
5,9.9,0.45,0.64,133.0,0.21,0.9956,32.0
5,12.9,0.58,0.66,15.0,0.0,0.99256,7.0
6,10.2,0.63,0.51,73.0,0.15,0.9955,33.0
6,10.0,0.78,0.32,37.0,0.44,0.9985,16.0
6,10.0,0.92,0.56,46.0,0.31,0.9979,15.0
6,10.9,0.69,0.45,23.0,0.63,0.99974,7.0
7,11.0,0.85,0.36,44.0,0.46,0.99534,24.0
6,9.5,0.82,0.62,38.0,0.08,0.99651,28.0
5,9.8,0.54,0.92,93.0,0.24,0.9998,12.0
5,9.1,0.55,0.725,41.0,0.22,0.9967,11.0
7,10.8,0.69,0.635,33.0,0.1,0.99736,16.0
