quality,alcohol,sulphates,volatile acidity,total sulfur dioxide,citric acid
5,9.2,0.64,0.4,52.0,0.4
5,9.3,1.09,0.635,62.0,0.37
5,9.6,0.44,0.5,14.0,0.49
5,10.0,0.44,0.55,17.0,0.09
5,11.4,0.56,0.59,13.0,0.01
4,9.6,0.44,0.955,19.0,0.05
6,9.8,0.48,0.585,30.0,0.18
5,9.7,0.57,0.58,104.0,0.25
6,11.5,0.63,0.74,16.0,0.03
5,10.1,0.54,0.695,20.0,0.13
5,9.0,0.58,0.49,85.0,0.33
6,10.8,0.76,0.47,66.0,0.43
5,10.0,0.56,0.58,37.0,0.66
5,10.2,0.6,0.68,28.0,0.24
5,9.5,0.91,0.43,37.0,0.21
7,11.8,0.74,0.28,15.0,0.35
3,9.0,0.57,0.58,47.0,0.66
5,10.1,0.54,0.85,54.0,0.14
7,10.0,0.65,0.48,54.0,0.32
6,9.5,0.63,0.43,12.0,0.44
5,9.3,0.57,0.57,119.0,0.23
5,9.4,0.62,0.67,141.0,0.55
5,11.5,0.52,0.875,14.0,0.13
5,10.1,0.54,0.675,82.0,0.07
7,12.0,0.85,0.44,76.0,0.73
8,11.7,0.69,0.42,12.0,0.39
5,10.7,0.61,0.33,12.0,0.44
7,11.3,0.78,0.26,47.0,0.34
5,9.8,0.58,0.45,66.0,0.38
8,11.7,0.92,0.3,17.0,0.56
6,12.7,0.52,0.36,39.0,0.19
6,12.2,0.62,0.39,53.0,0.33
6,10.1,0.64,0.18,15.0,0.48
5,9.8,0.71,0.59,71.0,0.07
6,11.4,0.76,0.52,13.0,0.45
5,9.6,0.82,0.745,63.0,0.11
6,11.4,0.87,0.43,19.0,0.5
5,9.8,0.56,0.9,10.0,0.06
6,10.9,0.63,0.9,17.0,0.0
4,9.6,0.57,0.46,49.0,0.49
6,11.4,0.84,0.54,55.0,0.0
6,10.0,0.6,0.64,29.0,0.0
6,9.8,0.58,0.63,91.0,0.27
5,11.0,0.57,0.625,49.0,0.16
5,9.3,1.31,0.41,69.0,0.68
6,12.8,0.59,0.51,27.0,0.15
7,12.5,0.71,0.25,10.0,0.39
6,9.3,0.6,0.54,31.0,0.26
5,10.9,0.87,0.56,27.0,0.49
8,12.9,0.82,0.85,88.0,0.05
7,11.7,0.74,0.65,38.0,0.01
5,9.4,0.47,0.66,9.0,0.04
5,10.4,0.58,0.4,50.0,0.5
5,9.8,0.6,0.52,92.0,0.03
5,10.2,0.52,0.64,101.0,0.1
6,10.6,0.6,0.46,34.0,0.24
5,11.7,0.49,0.58,22.0,0.2
5,9.6,0.44,0.56,22.0,0.04
7,12.5,0.77,0.31,43.0,0.39
6,11.0,0.7,0.58,69.0,0.28
6,11.3,0.63,0.64,33.0,0.0
5,9.2,0.58,0.77,92.0,0.2
5,9.6,0.56,0.805,20.0,0.0
5,9.5,0.62,0.63,96.0,0.48
6,9.5,0.6,0.49,16.0,0.36
5,9.5,0.62,0.56,86.0,0.22
6,10.3,0.78,0.3,61.0,0.48
5,9.8,0.66,0.64,31.0,0.21
6,10.4,0.48,0.33,9.0,0.46
4,9.2,0.59,0.67,75.0,0.19
6,11.9,0.6,0.25,50.0,0.43
6,11.6,1.03,0.58,14.0,0.56
5,10.1,0.54,0.6,99.0,0.03
7,12.5,0.77,0.31,43.0,0.39
6,10.0,0.9,0.25,33.0,0.49
6,9.4,0.8,0.26,27.0,0.42
6,10.2,0.9,0.24,73.0,0.33
5,10.9,0.39,0.725,11.0,0.05
8,11.0,0.65,0.35,16.0,0.53
6,9.4,0.91,0.54,27.0,0.04
6,10.3,0.53,0.33,11.0,0.47
5,9.4,0.56,0.7,34.0,0.0
6,10.9,0.94,0.24,22.0,0.34
4,11.8,0.56,0.67,20.0,0.0
5,11.4,0.55,0.34,18.0,0.42
6,8.7,0.87,0.24,25.0,0.4
5,9.6,0.78,0.32,15.0,0.59
5,9.1,0.49,0.6,15.0,0.29
6,11.2,0.76,0.55,51.0,0.1
5,10.2,1.17,0.6,110.0,0.3
6,11.1,0.59,0.43,67.0,0.24
5,9.5,0.49,0.39,18.0,0.63
5,9.4,1.06,0.36,18.0,0.6
7,9.9,0.76,0.41,41.0,0.54
5,10.5,0.73,0.38,72.0,0.6
6,10.0,0.56,0.725,62.0,0.24
5,9.5,0.47,0.38,35.0,0.21
6,11.1,0.72,0.67,24.0,0.0
7,10.8,0.81,0.37,42.0,0.44
5,9.4,0.48,0.34,68.0,0.28
7,12.5,0.52,0.27,17.0,0.49
4,9.2,0.53,0.675,43.0,0.26
6,9.7,0.47,0.745,48.0,0.18
6,11.6,0.74,0.69,81.0,0.31
7,11.7,0.62,0.56,29.0,0.14
4,11.4,0.43,1.09,31.0,0.06
5,9.0,0.64,0.42,42.0,0.31
5,11.2,0.8,0.47,28.0,0.27
5,11.1,0.74,0.645,23.0,0.49
6,11.0,0.85,0.38,71.0,0.32
5,11.1,0.63,0.23,67.0,0.4
5,9.5,0.59,0.41,11.0,0.24
7,12.1,0.62,0.33,13.0,0.41
4,10.0,0.61,0.785,13.0,0.0
6,10.7,0.62,0.5,46.0,0.39
5,10.4,0.62,0.41,47.0,0.24
6,10.7,0.79,0.5,20.0,0.49
5,9.5,0.55,0.65,40.0,0.1
5,9.9,0.45,0.64,133.0,0.21
5,12.9,0.58,0.66,15.0,0.0
6,10.2,0.63,0.51,73.0,0.15
6,10.0,0.78,0.32,37.0,0.44
6,10.0,0.92,0.56,46.0,0.31
6,10.9,0.69,0.45,23.0,0.63
7,11.0,0.85,0.36,44.0,0.46
6,9.5,0.82,0.62,38.0,0.08
5,9.8,0.54,0.92,93.0,0.24
5,9.1,0.55,0.725,41.0,0.22
7,10.8,0.69,0.635,33.0,0.1
