quality,alcohol,sulphates,volatile acidity,total sulfur dioxide,citric acid,density,chlorides,fixed acidity,pH,free sulfur dioxide,residual sugar
5,10.9,0.44,0.96,60.0,0.2,0.9955,0.047,7.7,3.36,15.0,2.0
7,11.0,0.9,0.24,24.0,0.47,0.9978,0.066,10.5,3.15,6.0,2.1
7,12.3,0.56,0.84,48.0,0.03,0.9952,0.059,6.6,3.52,32.0,2.3
6,11.4,0.49,0.67,48.0,0.08,0.9949,0.045,6.4,3.49,19.0,2.1
6,10.6,0.56,0.78,32.0,0.22,0.9988,0.077,9.5,3.26,6.0,1.9
5,9.3,0.6,0.52,30.0,0.33,0.9978,0.07,9.1,3.24,9.0,1.3
6,10.4,0.6,0.84,35.0,0.63,0.9997,0.088,12.8,3.1,13.0,2.4
7,11.0,0.9,0.24,24.0,0.47,0.9978,0.066,10.5,3.15,6.0,2.1
5,9.2,0.56,0.55,66.0,0.35,0.9974,0.074,7.8,3.25,21.0,2.2
5,9.5,0.49,0.39,18.0,0.63,1.0004,0.091,12.3,3.16,6.0,2.3
6,9.9,0.89,0.41,54.0,0.55,0.9996,0.076,10.4,3.15,22.0,3.2
5,9.5,0.49,0.39,18.0,0.63,1.0004,0.091,12.3,3.16,6.0,2.3
6,10.2,0.56,0.67,62.0,0.3,0.9958,0.06,8.0,3.26,38.0,2.0
6,11.2,0.66,0.45,22.0,0.73,0.9986,0.066,11.1,3.17,6.0,3.2
5,9.3,0.6,0.62,50.0,0.18,0.9951,0.062,7.0,3.08,7.0,1.5
8,9.8,0.82,0.31,29.0,0.72,0.9987,0.072,12.6,2.88,6.0,2.2
7,11.2,0.68,0.685,43.0,0.76,1.0032,0.1,15.6,2.95,6.0,3.7
7,12.5,0.84,0.57,27.0,0.01,0.9934,0.054,5.3,3.57,5.0,1.7
5,10.5,0.73,0.38,72.0,0.6,0.9996,0.081,12.5,3.1,31.0,2.6
5,11.2,0.72,0.48,16.0,0.29,0.9968,0.127,9.3,3.22,6.0,2.1
6,10.2,0.56,0.53,27.0,0.22,0.9967,0.1,8.6,3.2,7.0,2.0
6,10.8,0.61,0.39,35.0,0.69,0.9994,0.095,11.9,3.1,17.0,2.8
6,10.8,0.61,0.39,35.0,0.69,0.9994,0.095,11.9,3.1,17.0,2.8
6,10.0,0.63,0.56,35.0,0.03,0.9968,0.084,6.8,3.44,18.0,1.7
7,11.2,0.74,0.33,22.0,0.63,0.9998,0.084,10.4,3.26,5.0,2.8
5,11.1,0.63,0.23,67.0,0.4,0.9952,0.063,7.0,3.5,21.0,1.6
8,13.4,0.69,0.62,19.0,0.67,0.9988,0.086,11.3,3.22,6.0,5.2
5,10.3,0.58,0.59,22.0,0.39,0.9986,0.095,8.9,3.37,5.0,2.3
5,9.6,0.58,0.63,65.0,0.21,0.9988,0.097,9.2,3.28,29.0,2.7
3,9.0,0.57,0.58,47.0,0.66,1.0008,0.074,11.6,3.25,10.0,2.2
6,11.3,0.61,0.43,23.0,0.52,0.9976,0.083,9.2,3.35,14.0,2.3
5,9.3,0.61,0.615,19.0,0.22,0.9982,0.087,8.3,3.26,6.0,2.6
6,9.2,0.7,0.315,15.0,0.54,0.9987,0.084,11.5,2.98,5.0,2.1
6,11.5,0.72,0.5,51.0,0.42,0.9982,0.069,10.3,3.16,21.0,2.0
6,14.0,0.79,0.46,18.0,0.45,0.9947,0.065,8.8,3.32,7.0,2.6
6,9.2,0.62,0.36,21.0,0.69,1.0,0.09,11.4,3.17,6.0,2.1
5,9.8,0.58,0.82,48.0,0.02,0.9952,0.07,8.7,3.2,36.0,1.2
5,10.6,0.61,0.32,47.0,0.65,0.9996,0.093,13.0,3.05,15.0,2.6
6,11.4,0.71,0.54,52.0,0.42,0.997,0.081,9.6,3.2,25.0,2.4
6,10.4,0.82,0.37,68.0,0.55,0.9995,0.083,12.5,3.15,25.0,2.6
5,10.2,0.6,0.68,28.0,0.24,0.9988,0.087,9.6,3.14,5.0,2.2
5,9.7,0.7,0.27,16.0,0.41,0.998,0.091,9.3,3.28,6.0,2.0
6,11.0,1.06,0.24,20.0,0.49,0.9977,0.075,10.4,3.18,6.0,1.8
6,10.1,0.7,0.685,31.0,0.11,0.9984,0.077,9.4,3.19,6.0,2.7
5,9.2,0.66,0.28,23.0,0.39,1.0026,0.069,10.6,3.12,6.0,15.5
8,11.7,0.92,0.3,17.0,0.56,0.9964,0.08,9.4,3.15,6.0,2.8
5,9.4,1.06,0.36,18.0,0.6,0.9986,0.152,10.6,3.04,7.0,2.2
5,10.0,0.47,0.67,17.0,0.39,0.9976,0.054,10.2,3.17,6.0,1.9
6,10.0,0.42,0.645,14.0,0.36,0.9982,0.053,10.2,3.17,5.0,1.8
6,10.2,0.75,0.39,26.0,0.4,0.9984,0.073,9.3,3.34,10.0,2.6
7,13.3,0.79,0.41,25.0,0.5,0.9952,0.055,9.2,3.34,12.0,2.5
7,13.4,0.9,0.4,27.0,0.51,0.995,0.052,8.9,3.32,13.0,2.6
6,11.6,0.74,0.69,81.0,0.31,1.0002,0.086,8.7,3.48,23.0,3.0
6,12.1,0.55,0.39,91.0,0.23,0.9952,0.051,6.5,3.44,28.0,8.3
8,11.0,0.65,0.35,16.0,0.53,0.9972,0.07,10.7,3.15,5.0,2.6
6,9.0,0.65,0.52,38.0,0.25,0.9984,0.081,7.8,3.43,14.0,1.9
5,11.1,0.79,0.34,113.0,0.32,0.9966,0.09,7.2,3.32,43.0,2.5
8,11.0,0.65,0.35,16.0,0.53,0.9972,0.07,10.7,3.15,5.0,2.6
6,11.6,0.74,0.69,81.0,0.31,1.0002,0.086,8.7,3.48,23.0,3.0
6,9.0,0.65,0.52,38.0,0.25,0.9984,0.081,7.8,3.43,14.0,1.9
7,12.0,0.85,0.44,76.0,0.73,0.999,0.074,10.4,3.17,38.0,6.55
7,12.0,0.85,0.44,76.0,0.73,0.999,0.074,10.4,3.17,38.0,6.55
7,10.8,1.05,0.24,22.0,0.42,0.9976,0.077,10.5,3.21,6.0,1.8
7,12.5,0.78,0.49,26.0,0.63,0.9968,0.072,10.2,3.16,10.0,2.9
7,10.8,1.02,0.24,21.0,0.46,0.9976,0.075,10.4,3.25,6.0,1.8
6,9.5,0.71,0.67,13.0,0.55,1.0,0.084,11.2,3.17,6.0,2.3
7,11.4,0.68,0.29,43.0,0.75,0.9986,0.084,13.3,3.04,23.0,2.8
6,10.2,0.63,0.59,62.0,0.31,0.9994,0.09,10.0,3.18,26.0,2.2
6,9.7,0.81,0.4,49.0,0.48,0.998,0.125,10.7,3.03,15.0,2.1
7,11.8,0.66,0.51,15.0,0.64,0.9973,0.107,10.5,3.09,6.0,2.4
7,11.8,0.66,0.51,15.0,0.64,0.9973,0.107,10.5,3.09,6.0,2.4
5,9.3,1.14,0.655,151.0,0.49,1.001,0.122,8.5,3.31,34.0,6.1
6,11.9,0.74,0.6,14.0,0.49,1.001,0.1,12.5,3.25,5.0,4.3
3,8.4,0.63,0.61,16.0,0.49,0.9994,0.2,10.4,3.16,5.0,2.1
6,10.0,0.9,0.25,33.0,0.49,0.9982,0.088,9.8,3.42,15.0,2.7
5,9.4,0.55,0.4,142.0,0.49,0.9978,0.085,9.3,3.22,38.0,2.5
5,9.5,0.64,0.43,116.0,0.49,0.9976,0.086,9.2,3.23,23.0,2.4
6,11.4,0.77,0.38,85.0,0.49,0.9962,0.097,7.0,3.39,33.0,2.5
5,9.4,0.57,0.63,33.0,0.24,0.9974,0.077,9.9,3.09,6.0,2.4
6,10.3,0.87,0.22,28.0,0.24,0.999,0.078,9.1,3.41,1.0,2.1
5,10.3,0.61,0.38,42.0,0.49,1.0004,0.098,11.9,3.16,12.0,2.7
5,10.3,0.61,0.38,42.0,0.49,1.0004,0.098,11.9,3.16,12.0,2.7
6,12.8,0.66,0.27,33.0,0.24,0.9956,0.072,10.3,3.22,15.0,2.1
6,10.0,0.56,0.48,32.0,0.24,1.0,0.102,10.0,3.28,13.0,2.7
6,10.3,0.87,0.22,28.0,0.24,0.999,0.078,9.1,3.41,1.0,2.1
5,9.4,0.57,0.63,33.0,0.24,0.9974,0.077,9.9,3.09,6.0,2.4
6,10.7,0.77,0.825,13.0,0.24,0.9972,0.084,8.1,3.37,5.0,2.1
7,12.0,0.66,0.35,35.0,0.49,1.0014,0.066,12.9,3.2,5.0,5.8
5,11.2,0.62,0.5,17.0,0.74,0.9996,0.1,11.2,3.22,5.0,5.15
5,9.6,0.67,0.59,47.0,0.24,0.9988,0.101,9.2,3.26,20.0,3.3
6,11.0,0.73,0.46,17.0,0.49,0.9988,0.064,9.5,3.21,5.0,6.3
5,9.9,0.59,0.715,20.0,0.24,0.9966,0.07,9.3,3.12,5.0,2.1
6,11.0,0.72,0.66,53.0,0.24,0.9993,0.085,11.2,3.06,16.0,2.5
6,8.4,0.79,0.31,15.0,0.74,1.0008,0.075,14.3,2.86,6.0,1.8
5,9.1,0.59,0.47,106.0,0.49,0.9982,0.094,9.1,3.08,38.0,2.6
6,9.5,0.78,0.55,28.0,0.24,0.9983,0.078,7.5,3.45,10.0,2.0
6,10.7,0.86,0.31,21.0,0.49,0.9987,0.067,10.6,3.26,6.0,2.5
6,10.4,0.75,0.35,69.0,0.49,0.9994,0.079,12.4,3.12,27.0,2.6
6,9.5,0.56,0.51,25.0,0.01,0.9958,0.074,6.8,3.33,9.0,2.1
6,10.0,0.73,0.43,45.0,0.24,0.998,0.092,9.4,3.19,14.0,2.8
6,10.0,0.74,0.46,44.0,0.24,0.998,0.092,9.5,3.12,14.0,2.7
5,11.5,0.62,1.04,96.0,0.24,0.9934,0.05,5.0,3.74,32.0,1.6
5,11.1,0.74,0.645,23.0,0.49,1.00315,0.095,15.5,2.92,10.0,4.2
6,11.7,0.56,0.53,17.0,0.49,1.0002,0.118,10.9,3.07,10.0,4.6
5,11.1,0.74,0.645,23.0,0.49,1.00315,0.095,15.6,2.92,10.0,4.2
6,12.7,0.68,0.47,47.0,0.49,1.0021,0.085,13.0,3.3,6.0,4.3
5,11.4,0.57,0.6,19.0,0.49,0.9994,0.075,12.7,3.14,5.0,2.8
5,9.2,0.61,0.54,110.0,0.49,0.9982,0.094,9.0,3.08,41.0,2.9
6,10.1,0.61,0.29,60.0,0.49,0.9971,0.092,7.6,3.31,25.0,2.7
6,12.7,0.68,0.47,47.0,0.49,1.0021,0.085,13.0,3.3,6.0,4.3
5,11.4,0.57,0.6,19.0,0.49,0.9994,0.075,12.7,3.14,5.0,2.8
6,9.0,0.6,0.7,15.0,0.24,0.9991,0.226,8.7,3.32,5.0,2.5
6,10.7,0.79,0.5,20.0,0.49,0.999,0.25,9.8,3.31,5.0,2.6
6,11.7,0.57,0.36,42.0,0.24,0.9946,0.095,6.2,3.57,19.0,2.2
6,11.0,0.91,0.35,37.0,0.49,1.0003,0.07,11.5,3.32,10.0,3.3
5,10.4,0.61,0.24,28.0,0.49,0.9978,0.075,10.2,3.14,10.0,2.4
4,10.0,0.52,0.5,14.0,0.24,0.9978,0.103,9.9,3.34,6.0,2.3
5,9.5,0.6,0.44,111.0,0.49,0.9982,0.083,8.8,3.3,18.0,2.8
5,9.8,0.6,0.47,110.0,0.49,0.9982,0.085,8.8,3.29,17.0,2.9
6,9.8,0.51,0.31,40.0,0.49,0.9976,0.063,10.6,3.14,18.0,2.2
5,9.6,0.44,0.5,14.0,0.49,1.0002,0.089,12.3,3.19,5.0,2.2
5,9.6,0.44,0.5,14.0,0.49,1.0002,0.089,12.3,3.19,5.0,2.2
7,9.9,0.66,0.28,21.0,0.49,0.9976,0.074,12.0,2.98,10.0,1.9
5,9.3,0.59,0.73,102.0,0.24,0.9967,0.108,7.3,3.26,18.0,1.9
8,14.0,0.74,0.42,50.0,0.24,0.9917,0.06,5.0,3.72,19.0,2.0
5,9.7,0.57,0.45,75.0,0.49,0.9987,0.084,9.0,3.35,21.0,2.6
6,11.5,0.5,0.39,149.0,0.49,0.9922,0.07,6.6,3.12,23.0,1.7
5,9.7,0.57,0.45,75.0,0.49,0.9987,0.084,9.0,3.35,21.0,2.6
5,9.0,0.58,0.49,43.0,0.58,1.0004,0.094,9.9,3.29,9.0,3.5
5,9.3,0.57,0.595,109.0,0.41,0.9998,0.086,8.9,3.27,30.0,7.9
6,9.3,0.6,0.4,24.0,0.51,0.9994,0.059,12.4,3.04,6.0,2.0
6,9.8,0.48,0.585,30.0,0.18,0.9967,0.078,8.5,3.2,5.0,2.1
5,9.3,0.52,0.835,14.0,0.0,0.9975,0.081,7.7,3.3,6.0,2.6
6,9.1,0.62,0.58,63.0,0.13,0.9984,0.096,8.3,3.17,14.0,2.9
6,10.5,0.53,0.48,52.0,0.41,0.9982,0.092,8.8,3.31,26.0,3.3
6,10.4,0.64,0.65,65.0,0.37,1.0026,0.11,10.1,3.32,11.0,5.1
6,12.7,0.52,0.36,39.0,0.19,0.9956,0.075,6.3,3.56,15.0,3.2
5,9.2,0.54,0.24,57.0,0.54,0.9983,0.083,8.8,3.39,25.0,2.5
5,9.4,0.54,0.38,16.0,0.55,1.0006,0.081,13.2,2.98,5.0,2.7
6,10.0,0.6,0.64,29.0,0.0,0.9965,0.077,7.5,3.32,18.0,2.4
5,9.7,0.57,0.6,71.0,0.5,0.9997,0.079,9.6,3.5,28.0,2.3
6,9.8,0.93,0.31,28.0,0.51,0.9982,0.079,11.5,3.03,14.0,2.2
5,9.3,0.8,0.37,16.0,0.41,0.9988,0.088,11.3,3.09,6.0,2.3
5,9.4,0.61,0.54,112.0,0.24,0.9976,0.076,8.3,3.27,16.0,3.4
5,9.4,0.62,0.56,104.0,0.23,0.9976,0.078,8.2,3.28,14.0,3.4
5,9.5,0.55,0.58,32.0,0.22,0.9974,0.08,10.0,3.13,9.0,1.9
5,10.2,0.72,0.69,58.0,0.0,0.9997,0.124,6.8,3.46,21.0,5.6
5,9.1,0.49,0.6,15.0,0.29,0.9988,0.098,8.8,3.36,5.0,2.2
5,9.1,0.49,0.6,15.0,0.29,0.9988,0.098,8.8,3.36,5.0,2.2
6,9.3,0.6,0.54,31.0,0.26,0.9976,0.097,8.7,3.27,7.0,2.5
5,9.3,0.61,0.685,84.0,0.23,0.9964,0.111,7.6,3.21,20.0,2.3
6,9.3,0.6,0.54,31.0,0.26,0.9976,0.097,8.7,3.27,7.0,2.5
5,9.5,0.63,0.28,19.0,0.54,0.9988,0.105,10.4,3.25,5.0,2.7
6,10.5,0.57,0.41,43.0,0.14,0.9964,0.087,7.6,3.32,21.0,3.0
4,11.3,0.64,0.935,86.0,0.22,1.001,0.105,10.1,3.43,11.0,3.4
5,9.5,0.58,0.35,102.0,0.21,0.9964,0.073,7.9,3.27,46.0,1.9
5,9.7,0.55,0.84,33.0,0.0,0.9954,0.065,8.7,3.27,24.0,1.4
5,9.4,0.53,0.88,147.0,0.28,0.9979,0.086,9.6,3.24,30.0,2.4
5,9.4,0.53,0.885,145.0,0.27,0.9978,0.084,9.5,3.24,31.0,2.3
6,10.3,1.36,0.29,57.0,0.35,0.997,0.067,8.9,3.18,25.0,1.9
5,9.4,0.62,0.54,40.0,0.45,0.9991,0.071,9.9,3.39,16.0,2.3
5,9.4,0.62,0.54,40.0,0.45,0.9991,0.071,9.9,3.39,16.0,2.3
5,9.4,0.62,0.54,40.0,0.45,0.9991,0.071,9.9,3.39,16.0,2.3
4,11.0,0.58,0.845,14.0,0.01,0.9967,0.07,8.3,3.32,5.0,2.2
7,11.2,0.67,0.48,28.0,0.3,0.9964,0.066,8.7,3.33,10.0,2.8
6,11.3,0.57,0.42,148.0,0.27,0.9948,0.068,6.7,3.16,24.0,8.6
5,9.6,0.5,0.43,32.0,0.39,0.9986,0.106,10.7,2.89,8.0,2.2
5,14.9,0.84,0.36,71.0,0.65,0.9976,0.096,15.9,2.98,22.0,7.5
6,12.0,0.54,0.33,30.0,0.59,0.9976,0.079,9.4,3.12,9.0,2.8
5,9.5,0.46,0.47,29.0,0.47,0.9979,0.074,8.6,3.08,7.0,2.4
5,9.4,0.61,0.55,53.0,0.17,1.0004,0.087,9.7,3.14,20.0,2.9
5,9.6,0.5,0.43,32.0,0.39,0.9986,0.106,10.7,2.89,8.0,2.2
7,10.5,0.68,0.5,42.0,0.59,0.998,0.073,12.0,2.92,23.0,1.4
6,9.6,0.81,0.52,20.0,0.07,0.9973,0.074,7.2,3.32,5.0,1.4
6,9.6,0.81,0.52,20.0,0.07,0.9973,0.074,7.2,3.32,5.0,1.4
5,9.0,0.64,0.42,42.0,0.31,0.9978,0.08,7.5,3.31,15.0,1.6
6,9.6,0.7,0.57,27.0,0.06,0.9972,0.076,7.2,3.36,9.0,1.6
5,9.7,0.56,0.59,48.0,0.14,0.9981,0.084,9.4,3.14,25.0,2.0
6,9.5,0.6,0.49,16.0,0.36,0.998,0.222,8.3,3.18,6.0,1.8
6,9.2,0.66,0.34,15.0,0.45,0.9988,0.082,11.3,2.94,6.0,2.0
6,9.2,0.66,0.34,15.0,0.45,0.9988,0.082,11.3,2.94,6.0,2.0
5,9.5,0.52,0.73,13.0,0.21,0.9968,0.074,8.2,3.2,5.0,1.7
5,9.5,0.52,0.73,13.0,0.21,0.9968,0.074,8.2,3.2,5.0,1.7
6,9.3,0.67,0.4,17.0,0.41,0.9984,0.084,10.8,3.08,7.0,2.2
5,9.9,0.48,0.8,31.0,0.11,0.9979,0.084,8.6,3.4,12.0,2.3
5,10.0,0.53,0.78,87.0,0.1,0.9983,0.081,8.3,3.48,45.0,2.6
5,9.6,0.54,0.26,49.0,0.45,0.9972,0.06,10.8,3.13,20.0,3.3
6,10.2,0.49,0.45,29.0,0.23,0.9962,0.094,8.0,3.21,16.0,2.2
5,9.8,0.54,0.46,58.0,0.31,0.998,0.078,8.5,3.33,32.0,2.25
5,11.3,0.56,0.78,15.0,0.23,0.997,0.059,8.1,3.37,5.0,2.6
5,9.4,0.48,0.98,152.0,0.32,0.998,0.078,9.8,3.25,35.0,2.3
5,11.3,0.56,0.78,15.0,0.23,0.997,0.059,8.1,3.37,5.0,2.6
5,9.4,0.47,0.66,9.0,0.04,0.9962,0.039,7.7,3.4,4.0,1.6
5,9.4,1.05,0.38,17.0,0.48,0.9976,0.157,8.1,3.3,5.0,1.8
5,9.8,0.54,0.92,93.0,0.24,0.9998,0.087,9.2,3.48,12.0,2.6
5,9.0,1.17,0.49,62.0,0.51,0.9979,0.422,8.6,3.03,16.0,2.0
5,9.4,0.62,0.48,122.0,0.32,0.9984,0.084,9.0,3.32,21.0,2.8
5,9.4,0.61,0.47,125.0,0.31,0.9984,0.084,9.0,3.31,24.0,2.7
6,12.8,0.62,0.47,44.0,0.02,0.9921,0.034,5.1,3.9,18.0,1.3
6,9.5,0.67,0.65,25.0,0.02,0.9972,0.066,7.0,3.47,8.0,2.1
5,9.7,0.53,0.615,72.0,0.28,1.0001,0.087,9.4,3.31,18.0,3.2
6,10.8,0.62,0.38,19.0,0.55,0.9986,0.071,11.8,3.11,5.0,2.1
6,10.1,0.57,1.02,88.0,0.43,0.9984,0.076,10.6,3.08,26.0,2.9
6,9.5,0.67,0.65,25.0,0.02,0.9972,0.066,7.0,3.47,8.0,2.1
6,9.4,0.67,0.64,23.0,0.02,0.997,0.067,7.0,3.47,9.0,2.1
4,9.6,0.7,0.38,84.0,0.48,0.9972,0.073,7.5,3.32,22.0,2.6
4,9.7,0.54,0.765,14.0,0.04,0.998,0.078,9.1,3.29,4.0,1.6
5,9.9,0.49,1.035,54.0,0.15,0.999,0.073,8.4,3.37,11.0,6.0
5,10.0,0.47,0.78,19.0,0.08,0.9956,0.093,7.0,3.4,10.0,2.0
5,10.5,0.51,0.49,37.0,0.19,0.9966,0.077,7.4,3.37,16.0,3.0
6,11.6,0.61,0.545,35.0,0.12,0.996,0.068,7.8,3.34,11.0,2.5
5,10.1,0.57,1.025,84.0,0.43,0.9985,0.08,10.6,3.06,21.0,2.8
5,9.5,0.61,0.565,112.0,0.34,0.9998,0.093,8.9,3.38,16.0,3.0
5,9.8,0.51,0.74,77.0,0.28,0.998,0.078,9.9,3.28,21.0,2.6
5,10.0,0.57,0.46,49.0,0.11,0.9968,0.079,7.6,3.21,12.0,2.6
5,9.6,0.44,0.56,22.0,0.04,0.9976,0.082,8.4,3.22,10.0,2.0
5,9.5,0.54,0.66,45.0,0.0,0.9976,0.086,7.1,3.46,17.0,3.9
5,9.6,0.44,0.56,22.0,0.04,0.9976,0.082,8.4,3.22,10.0,2.0
5,9.2,0.53,0.48,106.0,0.24,0.9982,0.094,8.9,3.1,35.0,2.85
5,9.5,1.62,0.31,127.0,0.3,0.9965,0.053,7.1,2.94,36.0,2.2
5,10.4,0.55,0.66,13.0,0.17,0.9976,0.077,9.0,3.29,5.0,3.0
6,11.1,0.72,0.72,49.0,0.09,0.9994,0.084,8.1,3.43,18.0,2.8
5,9.5,0.68,0.57,11.0,0.02,0.997,0.067,6.4,3.46,4.0,1.8
5,9.5,0.68,0.57,11.0,0.02,0.997,0.067,6.4,3.46,4.0,1.8
6,12.7,0.49,0.865,58.0,0.03,0.995,0.071,6.4,3.61,27.0,3.2
5,9.6,0.67,0.55,37.0,0.66,0.9982,0.387,9.5,3.17,12.0,2.3
5,11.5,0.52,0.875,14.0,0.13,0.9994,0.088,8.9,3.44,4.0,3.45
5,9.6,0.47,0.835,19.0,0.03,0.9966,0.092,7.3,3.39,10.0,2.1
5,9.5,0.6,0.45,72.0,0.34,0.998,0.082,7.0,3.55,16.0,2.7
5,9.3,0.62,0.56,39.0,0.2,0.9987,0.075,7.7,3.48,9.0,2.0
5,9.5,0.5,0.965,22.0,0.1,0.9963,0.112,7.7,3.26,11.0,2.1
6,9.3,0.65,0.59,58.0,0.0,1.0002,0.093,8.2,3.5,19.0,2.5
5,9.3,0.6,0.69,38.0,0.0,0.999,0.088,9.0,3.35,19.0,2.4
6,11.5,0.68,0.76,16.0,0.29,0.9965,0.075,8.3,3.45,12.0,4.2
5,9.5,0.57,0.53,139.0,0.24,0.99788,0.078,9.2,3.21,28.0,2.6
5,9.5,0.51,0.39,101.0,0.54,1.0001,0.095,11.1,3.13,21.0,2.7
6,9.5,0.73,0.51,28.0,0.18,0.99768,0.07,7.3,3.52,12.0,2.1
6,9.0,0.47,0.34,57.0,0.38,0.9978,0.08,8.2,3.3,12.0,2.5
6,9.6,0.72,0.5,31.0,0.18,0.99761,0.071,7.2,3.52,12.0,2.1
6,9.5,0.73,0.51,28.0,0.18,0.99768,0.07,7.3,3.52,12.0,2.1
5,9.5,0.55,0.65,40.0,0.1,0.99803,0.089,8.3,3.29,17.0,2.9
5,9.4,0.61,0.54,66.0,0.13,0.99785,0.097,7.6,3.39,24.0,2.5
5,9.5,0.55,0.65,40.0,0.1,0.99803,0.089,8.3,3.29,17.0,2.9
6,9.1,1.06,0.48,32.0,0.68,0.99656,0.415,7.8,3.09,14.0,1.7
6,10.7,0.43,0.91,47.0,0.07,0.99525,0.058,7.8,3.51,22.0,1.9
6,11.2,0.46,0.98,33.0,0.01,0.99488,0.057,6.3,3.6,15.0,2.0
5,9.8,0.5,0.87,31.0,0.0,0.99656,0.084,8.1,3.25,10.0,2.2
5,9.8,0.5,0.87,31.0,0.0,0.99656,0.084,8.1,3.25,10.0,2.2
5,9.2,0.52,0.42,88.0,0.21,0.99823,0.092,8.8,3.19,33.0,2.5
5,9.7,0.57,0.58,104.0,0.25,0.99779,0.075,9.0,3.23,9.0,2.8
5,9.6,0.42,0.655,35.0,0.26,0.99738,0.096,9.3,3.25,5.0,2.0
6,10.0,0.53,0.7,19.0,0.0,0.99701,0.069,8.8,3.31,8.0,1.7
6,9.5,0.55,0.68,44.0,0.11,0.99888,0.093,9.1,3.31,11.0,2.8
6,9.5,0.54,0.67,48.0,0.1,0.99888,0.091,9.2,3.31,12.0,3.0
5,9.4,0.54,0.59,74.0,0.18,0.99738,0.089,8.8,3.14,12.0,2.9
6,9.7,0.53,0.59,94.0,0.02,0.99744,0.082,7.1,3.55,24.0,2.3
5,9.6,0.54,0.72,32.0,0.01,0.99668,0.076,7.9,3.39,7.0,1.9
6,9.7,0.53,0.59,94.0,0.02,0.99744,0.082,7.1,3.55,24.0,2.3
5,9.4,0.55,0.685,143.0,0.26,0.9978,0.082,9.4,3.28,23.0,2.4
5,9.4,0.55,0.57,144.0,0.27,0.99782,0.082,9.5,3.27,23.0,2.3
6,9.5,0.92,0.4,44.0,0.29,0.9973,0.157,7.9,3.3,1.0,1.8
5,10.0,0.46,1.0,16.0,0.0,0.99586,0.102,7.2,3.43,7.0,3.0
6,10.3,0.59,0.635,18.0,0.17,0.9961,0.241,6.9,3.4,6.0,2.4
5,10.5,0.61,0.43,34.0,0.3,0.99788,0.079,8.3,3.36,7.0,3.4
5,9.8,0.6,0.52,92.0,0.03,0.99745,0.076,7.1,3.5,21.0,2.6
6,9.4,0.6,0.57,45.0,0.0,0.99676,0.19,7.0,3.31,12.0,2.0
5,9.8,0.65,0.46,37.0,0.14,0.99732,0.114,6.5,3.66,9.0,2.4
5,9.8,0.59,0.59,85.0,0.01,0.99746,0.077,7.1,3.55,20.0,2.5
5,9.5,0.5,0.35,61.0,0.41,0.9982,0.083,9.9,3.21,11.0,2.3
6,10.1,0.56,0.56,58.0,0.24,0.9991,0.079,10.0,3.18,19.0,2.2
6,10.1,0.56,0.56,58.0,0.24,0.9991,0.079,10.0,3.18,19.0,2.2
5,9.3,0.52,0.63,119.0,0.17,0.998,0.099,8.6,3.09,21.0,2.9
6,9.7,0.68,0.37,82.0,0.43,0.99708,0.082,7.4,3.33,18.0,2.6
5,9.6,0.54,0.64,130.0,0.17,0.99818,0.084,8.8,3.23,25.0,2.9
6,9.7,0.6,0.61,87.0,0.02,0.99745,0.081,7.1,3.48,17.0,2.5
5,10.8,0.56,0.6,13.0,0.0,0.99639,0.055,7.7,3.38,7.0,2.6
6,12.5,0.53,0.27,26.0,0.54,0.99531,0.065,10.1,3.17,7.0,2.3
5,10.2,1.18,0.89,60.0,0.3,0.99786,0.132,10.8,2.99,7.0,2.6
5,9.6,0.74,0.46,64.0,0.31,0.99746,0.126,8.7,3.1,24.0,2.5
7,10.8,0.81,0.37,42.0,0.44,0.99526,0.038,9.3,3.24,21.0,1.6
6,10.7,0.52,0.5,14.0,0.34,0.9987,0.082,9.4,3.29,5.0,3.6
5,10.0,0.44,0.55,17.0,0.09,0.99735,0.068,8.6,3.23,8.0,3.3
7,12.9,0.94,0.585,86.0,0.0,0.99264,0.044,5.1,3.56,14.0,1.7
6,9.6,0.66,0.56,46.0,0.08,0.9971,0.114,7.7,3.24,14.0,2.5
6,9.9,0.57,0.52,18.0,0.22,0.99682,0.084,8.4,3.26,4.0,2.7
7,12.5,0.71,0.25,10.0,0.39,0.99386,0.041,8.4,3.27,4.0,2.0
5,9.2,0.86,0.53,12.0,0.12,0.99702,0.165,7.4,3.26,4.0,1.9
6,10.3,0.55,0.48,15.0,0.31,0.99693,0.07,7.6,3.22,4.0,2.8
5,10.5,0.47,0.49,14.0,0.1,0.99562,0.068,7.3,3.3,4.0,2.6
6,10.9,0.68,0.5,24.0,0.55,1.00012,0.072,12.9,3.09,7.0,2.8
4,11.4,0.58,0.39,7.0,0.24,0.99462,0.102,6.9,3.44,4.0,2.1
6,11.3,0.76,0.41,41.0,0.54,0.99939,0.103,12.6,3.21,19.0,2.8
5,9.6,0.54,0.66,59.0,0.15,0.99976,0.097,9.1,3.28,9.0,3.2
5,9.7,0.6,0.685,22.0,0.0,0.99606,0.099,7.0,3.34,9.0,1.9
7,14.0,0.74,0.42,42.0,0.0,0.99154,0.048,4.9,3.71,16.0,2.1
5,9.8,0.64,0.54,36.0,0.13,0.9973,0.076,6.7,3.61,15.0,2.0
5,10.3,0.53,0.48,16.0,0.28,0.99682,0.068,7.1,3.24,6.0,2.8
